Wall time,Step,Value
1713880687.706353,20039,0.5299999713897705
1713880747.0193515,40059,0.6800000071525574
1713880806.0683527,60072,0.7300000190734863
1713880863.0843515,80094,0.6299999952316284
1713880919.6953514,100102,0.6600000262260437
1713880976.3073509,120114,0.7699999809265137
1713881033.9083529,140123,0.8399999737739563
1713881091.134352,160145,0.8100000023841858
1713881148.019351,180176,0.8500000238418579
1713881205.0423546,200210,0.7699999809265137
1713881261.528353,220236,0.8299999833106995
1713881318.392351,240250,0.8299999833106995
1713881374.6533518,260276,0.8600000143051147
1713881431.8833508,280303,0.8700000047683716
1713881488.2333517,300315,0.7400000095367432
1713881544.5153513,320347,0.8100000023841858
1713881600.6373527,340355,0.8899999856948853
1713881656.4403512,360370,0.8600000143051147
1713881716.3413522,380392,0.8100000023841858
1713881774.0353506,400413,0.8500000238418579
