Wall time,Step,Value
1713881831.5343516,20031,0.5799999833106995
1713881888.1293504,40044,0.6299999952316284
1713881944.9723508,60068,0.6800000071525574
1713882001.4773543,80076,0.6700000166893005
1713882058.2143533,100090,0.7799999713897705
1713882115.0063546,120116,0.800000011920929
1713882171.4643507,140136,0.8299999833106995
1713882228.9483528,160168,0.7799999713897705
1713882287.0163515,180175,0.8299999833106995
1713882343.4483514,200177,0.8199999928474426
1713882400.1603513,220200,0.8600000143051147
1713882456.3963513,240207,0.8600000143051147
1713882512.6503558,260218,0.8199999928474426
1713882570.860352,280239,0.8199999928474426
1713882628.589351,300261,0.8299999833106995
1713882686.1553514,320315,0.7799999713897705
1713882742.6843524,340353,0.8700000047683716
1713882798.843351,360399,0.8700000047683716
1713882854.7193527,380411,0.8600000143051147
1713882910.6593502,400415,0.8399999737739563
