Wall time,Step,Value
1713882965.1353521,20007,0.6499999761581421
1713883018.6653514,40025,0.6000000238418579
1713883072.0073516,60053,0.6200000047683716
1713883125.6273534,80066,0.6899999976158142
1713883178.4573514,100096,0.6399999856948853
1713883233.3763506,120112,0.7099999785423279
1713883287.640353,140155,0.800000011920929
1713883339.9903553,160224,0.6299999952316284
1713883393.3613517,180255,0.6600000262260437
1713883446.1053517,200260,0.6100000143051147
1713883498.6963515,220353,0.6200000047683716
1713883551.0153542,240363,0.6800000071525574
1713883603.8773534,260443,0.7200000286102295
1713883656.2653515,280515,0.7099999785423279
1713883707.8143506,300556,0.7099999785423279
1713883759.7403553,320617,0.7099999785423279
1713883812.2283516,340636,0.6899999976158142
1713883866.0823536,360640,0.699999988079071
1713883921.3833508,380649,0.699999988079071
1713883977.4993508,400666,0.6899999976158142
