Wall time,Step,Value
1713745318.5974247,20027,-0.01
1713745383.8528495,40070,0.25999999046325684
1713745455.3883858,60098,0.5699999928474426
1713745519.365386,80148,0.6499999761581421
1713745581.5403886,100156,0.9200000166893005
1713745669.6738498,120185,0.8100000023841858
1713745729.7128983,140189,0.7699999809265137
1713745787.3078973,160214,1.3600000143051147
1713745840.9988992,180266,0.9100000262260437
1713745893.859898,200333,1.4299999475479126
1713745946.3198974,220374,1.090000033378601
1713745999.3778956,240401,1.4900000095367432
1713746052.3178995,260432,1.350000023841858
1713746104.496899,280478,1.350000023841858
1713746156.3228962,300519,1.2899999618530273
1713746208.154898,320568,1.2000000476837158
1713746261,340602,1.409999966621399
1713746313.775897,360633,1.4900000095367432
1713746366.350898,380645,1.5199999809265137
1713746419.571899,400718,0.9900000095367432
1713746472.283899,420793,1.3200000524520874
1713746526.433899,440839,1.2100000381469727
1713746579.7288983,460883,1.340000033378601
1713746634.619898,480913,1.2999999523162842
1713746687.412898,500977,1.3899999856948853
1713746740.324899,520996,1.159999966621399
1713746792.7078972,541043,1.2300000190734863
1713746844.1988997,561120,0.9900000095367432
1713746896.4738996,581161,1.1399999856948853
1713746948.4858956,601216,1.2999999523162842
1713746999.959897,621243,1.2200000286102295
1713747051.5418992,641314,1.1799999475479126
1713747103.0768957,661372,1.2799999713897705
1713747154.2348979,681398,1.2799999713897705
1713747205.6358995,701449,1.1699999570846558
1713747257.557898,721487,1.2400000095367432
1713747308.8358994,741556,1.2200000286102295
1713747360.0208979,761574,0.9300000071525574
1713747411.7208989,781658,1.3200000524520874
1713747465.6508973,801707,1.1299999952316284
1713747517.8388972,821771,1.1799999475479126
1713747569.2848988,841811,1.149999976158142
1713747621.263898,861860,1.190000057220459
1713747672.2758975,881919,1.2699999809265137
1713747724.0648968,901946,1.1100000143051147
1713747775.5888991,922013,0.7300000190734863
1713747828.7239006,942062,1.3300000429153442
1713747880.2608974,962096,1.1299999952316284
1713747931.864899,982145,1.0700000524520874
1713747983.9269004,1002226,1.1299999952316284
