,model_1,model_2,winrate
12,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00004_4_clip_param-0.2000-entropy_coeff-0.0010-gamma-0.9500_2024-04-23_00-13-31,0.42
13,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00005_5_clip_param-0.3000-entropy_coeff-0.0010-gamma-0.9500_2024-04-23_01-01-54,0.4
14,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00006_6_clip_param-0.1000-entropy_coeff-0.0001-gamma-0.9500_2024-04-23_01-49-37,0.4
15,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00007_7_clip_param-0.2000-entropy_coeff-0.0001-gamma-0.9500_2024-04-23_02-37-05,0.37
16,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00008_8_clip_param-0.3000-entropy_coeff-0.0001-gamma-0.9500_2024-04-23_03-24-32,0.28
17,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00002_2_clip_param-0.3000-gamma-0.9000-train_batch_size-10000_2024-04-21_21-28-22,0.48
18,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00003_3_clip_param-0.1000-gamma-0.9500-train_batch_size-10000_2024-04-21_21-54-16,0.59
19,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00004_4_clip_param-0.2000-gamma-0.9500-train_batch_size-10000_2024-04-21_22-20-05,0.52
20,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00005_5_clip_param-0.3000-gamma-0.9500-train_batch_size-10000_2024-04-21_22-44-47,0.45
21,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00006_6_clip_param-0.1000-gamma-0.9900-train_batch_size-10000_2024-04-21_23-10-35,0.48
